"Close","Day"
31.959999,1
32.490002,2
33.939999,3
38.849998,4
39.34,5
42.540001,6
38.75,7
39.799999,8
39.549999,9
36.900002,10
37.139999,11
36.439999,12
38.91,13
38.369999,14
40.380001,15
41.560001,16
40.459999,17
41.34,18
40.450001,19
41.099998,20
41.509998,21
40.959999,22
37.400002,23
38.75,24
38.91,25
39.689999,26
40.189999,27
40.84,28
43.389999,29
42.689999,30
40,31
40.549999,32
40.189999,33
40.490002,34
41.75,35
43.650002,36
43.369999,37
42.25,38
41.029999,39
41.860001,40
42.09,41
43.779999,42
44.040001,43
44.66,44
44.389999,45
43.07,46
44.459999,47
45.57,48
45.580002,49
49.639999,50
49.369999,51
49.150002,52
48.810001,53
49.200001,54
50.52,55
51.66,56
50.029999,57
49.389999,58
46.59,59
46.900002,60
47.060001,61
47.68,62
47.52,63
47.419998,64
48.919998,65
48.290001,66
49.009998,67
53.099998,68
51.599998,69
52.25,70
53.759998,71
54.939999,72
54.279999,73
53.75,74
54.060001,75
52.950001,76
54.150002,77
53.689999,78
53.43,79
51.77,80
52.5,81
52.68,82
59.099998,83
60.369999,84
61.450001,85
61.060001,86
61.759998,87
61.52,88
60.799999,89
60.959999,90
59.369999,91
59.689999,92
59.16,93
59.830002,94
60.48,95
60.32,96
60.610001,97
60.950001,98
60.799999,99
61.830002,100
61.540001,101
61.830002,102
59.560001,103
59.91,104
59.689999,105
60.02,106
59.849998,107
59.66,108
60.459999,109
61.560001,110
60.639999,111
62.130001,112
62.43,113
66.209999,114
66.080002,115
66.370003,116
68.470001,117
65.540001,118
64.650002,119
64.150002,120
66.839996,121
65.440002,122
66.389999,123
66.849998,124
67.099998,125
67.370003,126
66.559998,127
66.370003,128
65.5,129
66.309998,130
65.610001,131
65.370003,132
65.720001,133
67.309998,134
68.400002,135
67.690002,136
67.540001,137
67.160004,138
68.209999,139
67.480003,140
67.410004,141
68.660004,142
68.389999,143
69.25,144
70.510002,145
70.650002,146
70.040001,147
70.150002,148
69.5,149
69.410004,150
69.830002,151
68.779999,152
68.18,153
64.739998,154
63.57,155
60.700001,156
60.52,157
60.259998,158
60.290001,159
61.75,160
62.23,161
64.510002,162
64.589996,163
64.239998,164
64.610001,165
64.879997,166
64.419998,167
66.110001,168
67.349998,169
67.860001,170
67.599998,171
68.5,172
68.339996,173
69.379997,174
70.330002,175
69.349998,176
69.82,177
69.029999,178
70.519997,179
70.519997,180
70.910004,181
72.099998,182
70.379997,183
71.870003,184
71.529999,185
72.160004,186
71.639999,187
72.43,188
73.739998,189
73.870003,190
74.709999,191
72.919998,192
73.059998,193
72.730003,194
73.400002,195
72.989998,196
72.849998,197
71.5,198
72.5,199
73.290001,200
72.489998,201
73.459999,202
74.07,203
76.339996,204
77.220001,205
75.629997,206
76.75,207
71.230003,208
73.25,209
74.260002,210
74.860001,211
77.050003,212
76.900002,213
75.940002,214
75.68,215
76.040001,216
73.860001,217
73.919998,218
72.889999,219
73.949997,220
77.169998,221
77.75,222
79.309998,223
79.610001,224
79.940002,225
79.589996,226
79.580002,227
79.5,228
80.050003,229
79.440002,230
79.260002,231
79.690002,232
80.769997,233
80.769997,234
80.559998,235
81.690002,236
79.68,237
81.07,238
83.089996,239
82.709999,240
83.599998,241
82.800003,242
85.349998,243
85.110001,244
86.489998,245
87.68,246
88.620003,247
88.82,248
89.300003,249
89.080002,250
91.279999,251
88.110001,252
87.629997,253
